,Scaler,ActFunc,HiddenArch,Solver,MaxIter,bal_acc
206,minmax,relu,"(10, 10, 10)",sgd,100,0.7330584331139625
207,minmax,relu,"(10, 10, 10)",sgd,400,0.7330584331139625
208,minmax,relu,"(20, 20, 20)",adam,100,0.7368313840944687
209,minmax,relu,"(20, 20, 20)",adam,400,0.7368305592655038
210,minmax,relu,"(20, 20, 20)",sgd,100,0.7333379279361597
211,minmax,relu,"(20, 20, 20)",sgd,400,0.7333379279361597
212,minmax,relu,"(50, 50, 50)",adam,100,0.7319655958339906
213,minmax,relu,"(50, 50, 50)",adam,400,0.730935659399893
214,minmax,relu,"(50, 50, 50)",sgd,100,0.73599632114062
215,minmax,relu,"(50, 50, 50)",sgd,400,0.73599632114062
